"wave_id","city","parity_layer","source_name","source_url","source_type","city_specific","provenance_status","authentication_status","replay_status","saturation_status","eligible_for_lock","notes"
"20260511_213445","Milwaukee","city_boundary","Profile GIS","https://data.milwaukee.gov/","official_gis_portal","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass | strict_validator_pass"
"20260511_213445","Milwaukee","neighborhoods_or_districts","Profile GIS","https://data.milwaukee.gov/","official_gis_portal","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass | strict_validator_pass"
"20260511_213445","Milwaukee","council_districts","Profile council","https://city.milwaukee.gov/CommonCouncil","official_city_governance","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass | strict_validator_pass"
"20260511_213445","Milwaukee","police_beats_or_reporting_districts","Profile police","https://city.milwaukee.gov/police","official_public_safety","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass | strict_validator_pass"
"20260511_213445","Milwaukee","fire_stations_or_service_areas","Profile fire","https://city.milwaukee.gov/MFD","official_public_safety","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass | strict_validator_pass"
"20260511_213445","Milwaukee","parcels_or_zoning","Profile permits","https://city.milwaukee.gov/DNS","official_planning_permits","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass | strict_validator_pass"
"20260511_213445","Milwaukee","streets_or_transport_corridors","Profile public works","https://city.milwaukee.gov/mpw","official_public_works","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass | strict_validator_pass"
"20260511_213445","Milwaukee","public_facilities","Profile GIS","https://data.milwaukee.gov/","official_gis_portal","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass | strict_validator_pass"
"20260511_213445","Milwaukee","parks","Profile parks","https://county.milwaukee.gov/EN/Parks","official_parks","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass | strict_validator_pass"
"20260511_213445","Milwaukee","schools","Profile schools","https://mps.milwaukee.k12.wi.us/","official_school_district","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass | strict_validator_pass"
"20260511_213445","Milwaukee","public_safety_incidents_or_calls","Profile open data","https://data.milwaukee.gov/","official_open_data","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass | strict_validator_pass"
"20260511_213445","Milwaukee","permits_or_code_enforcement","Profile permits","https://city.milwaukee.gov/DNS","official_planning_permits","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass | strict_validator_pass"
"20260511_213445","Milwaukee","civic_governance","Profile council","https://city.milwaukee.gov/CommonCouncil","official_city_governance","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass | strict_validator_pass"
"20260511_213445","Milwaukee","public_works_or_infrastructure","Profile public works","https://city.milwaukee.gov/mpw","official_public_works","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass | strict_validator_pass"
